,ID,Features,Src
39,4672:loc_1267,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","['call deregister_tm_clones', 'mov cs:__bss_start const', 'pop rbp', 'retn']"
40,4672:loc_1278,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7820654249389035]",['retn']
41,4736:loc_1280,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['endbr64', 'jmp register_tm_clones']"
42,4745:loc_1289,"[2.0, 15.0, 2.0, 0.0, 5.0, 1.0, 0.0, 2.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov rax fs:28h', 'mov  addr rax', 'xor eax eax', 'lea rax  addr', 'mov  addr rax', 'mov rax  addr', 'mov rdi rax', 'call cwe121_stack_based_buffer_overflow__cwe805_struct_declare_loop_54b_badsink', 'nop', 'mov rax  addr', 'xor rax fs:28h', 'jz locret_12d9']"
43,4745:loc_12D4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['call ___stack_chk_fail']
44,4745:loc_12D9,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['leave', 'retn']"
45,4827:loc_12DB,"[3.0, 13.0, 2.0, 0.0, 2.0, 4.0, 0.0, 5.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr edi', 'mov  addr rsi', 'mov edi const', 'call _time', 'mov edi eax', 'call _srand', 'lea rdi acallingbad', 'call printline', 'mov eax const', 'call cwe121_stack_based_buffer_overflow__cwe805_struct_declare_loop_54_bad', 'lea rdi afinishedbad', 'call printline', 'mov eax const', 'leave', 'retn']"
46,4904:loc_1328,"[4.0, 8.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rdi rax', 'call cwe121_stack_based_buffer_overflow__cwe805_struct_declare_loop_54c_badsink', 'nop', 'leave', 'retn']"
47,4935:loc_1347,"[4.0, 8.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rdi rax', 'call cwe121_stack_based_buffer_overflow__cwe805_struct_declare_loop_54d_badsink', 'nop', 'leave', 'retn']"
48,4966:loc_1366,"[4.0, 8.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rdi rax', 'call cwe121_stack_based_buffer_overflow__cwe805_struct_declare_loop_54e_badsink', 'nop', 'leave', 'retn']"
49,4997:loc_1385,"[1.0, 9.0, 1.0, 0.0, 3.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax fs:28h', 'mov  addr rax', 'xor eax eax', 'mov  addr const', 'jmp loc_13e3']"
50,4997:loc_13B7,"[0.0, 2.0, 0.0, 0.0, 5.0, 3.0, 0.0, 0.0, 0.0]","['mov rax  addr', 'mov dword ptr  addr const', 'mov rax  addr', 'mov dword ptr  addr const', 'add  addr const']"
51,4997:loc_13E3,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","['cmp  addr const', 'jbe loc_13b7']"
52,4997:loc_13ED,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","['mov  addr const', 'jmp loc_142d']"
53,4997:loc_13FA,"[0.0, 8.0, 1.0, 1.0, 5.0, 1.0, 0.0, 0.0, 0.0]","['mov rax  addr', 'lea rdx ds:0 addr', 'mov rax  addr', 'add rdx rax', 'mov rax  addr', 'mov rax  addr', 'mov  addr rax', 'add  addr const']"
54,4997:loc_142D,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","['cmp  addr const', 'jbe loc_13fa']"
55,4997:loc_1437,"[1.0, 5.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0]","['mov rax  addr', 'mov rdi rax', 'call printstructline', 'nop', 'mov rax  addr', 'xor rax fs:28h', 'jz locret_145b']"
56,4997:loc_1456,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['call ___stack_chk_fail']
57,4997:loc_145B,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['leave', 'retn']"
58,5213:loc_145D,"[1.0, 5.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'cmp  addr const', 'jz loc_1480']"
59,5213:loc_1474,"[0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'mov rdi rax', 'call _puts']"
60,5213:loc_1480,"[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['nop', 'leave', 'retn']"
61,5251:loc_1483,"[1.0, 5.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'cmp  addr const', 'jz loc_14b2']"
62,5251:loc_149A,"[0.0, 5.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'mov rsi rax', 'lea rdi format', 'mov eax const', 'call _wprintf']"
63,5251:loc_14B2,"[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['nop', 'leave', 'retn']"
64,5301:loc_14B5,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr edi', 'mov eax  addr', 'mov esi eax', 'lea rdi ad', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
65,5341:loc_14DD,"[4.0, 12.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov eax edi', 'mov  addr ax', 'movsx eax  addr', 'mov esi eax', 'lea rdi ahd', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
66,5385:loc_1509,"[4.0, 8.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'movss  addr xmm0', 'cvtss2sd xmm0  addr', 'lea rdi asc_2041', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
67,5427:loc_1533,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rsi rax', 'lea rdi ald', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
68,5470:loc_155E,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rsi rax', 'lea rdi ald', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
69,5513:loc_1589,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov rsi rax', 'lea rdi azu', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
70,5556:loc_15B4,"[4.0, 12.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov eax edi', 'mov  addr al', 'movsx eax  addr', 'mov esi eax', 'lea rdi a02x', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
71,5599:loc_15DF,"[2.0, 18.0, 3.0, 0.0, 7.0, 3.0, 0.0, 2.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr edi', 'mov rax fs:28h', 'mov  addr rax', 'xor eax eax', 'mov eax  addr', 'mov  addr eax', 'mov  addr const', 'lea rax  addr', 'mov rsi rax', 'lea rdi als', 'mov eax const', 'call _printf', 'nop', 'mov rax  addr', 'xor rax fs:28h', 'jz locret_1637']"
72,5599:loc_1632,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['call ___stack_chk_fail']
73,5599:loc_1637,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['leave', 'retn']"
74,5689:loc_1639,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr edi', 'mov eax  addr', 'mov esi eax', 'lea rdi au', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
75,5729:loc_1661,"[4.0, 12.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov eax edi', 'mov  addr al', 'movzx eax  addr', 'mov esi eax', 'lea rdi a02x', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
76,5772:loc_168C,"[4.0, 10.0, 1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'movsd  addr xmm0', 'mov rax  addr', 'movq xmm0 rax', 'lea rdi ag', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
77,5818:loc_16BA,"[4.0, 13.0, 1.0, 1.0, 4.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov rax  addr', 'mov edx  addr', 'mov rax  addr', 'mov eax  addr', 'mov esi eax', 'lea rdi add', 'mov eax const', 'call _printf', 'nop', 'leave', 'retn']"
78,5869:loc_16ED,"[1.0, 6.0, 0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov  addr rsi', 'mov  addr const', 'jmp loc_1734']"
79,5869:loc_170B,"[0.0, 11.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0, 0.0]","['mov rdx  addr', 'mov rax  addr', 'add rax rdx', 'movzx eax byte ptr  addr', 'movzx eax al', 'mov esi eax', 'lea rdi a02x_0', 'mov eax const', 'call _printf', 'add  addr const']"
80,5869:loc_1734,"[0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'cmp rax  addr', 'jb loc_170b']"
81,5869:loc_173E,"[3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","['lea rdi s', 'call _puts', 'nop', 'leave', 'retn']"
82,5965:loc_174D,"[1.0, 11.0, 1.0, 0.0, 5.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov  addr rsi', 'mov  addr rdx', 'mov rax fs:28h', 'mov  addr rax', 'xor eax eax', 'mov  addr const', 'jmp loc_17c0']"
83,5965:loc_177E,"[0.0, 19.0, 1.0, 3.0, 7.0, 2.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'lea rdx  addr', 'mov rax  addr', 'lea rcx  addr', 'lea rax  addr', 'mov rdx rax', 'lea rsi a02x_0', 'mov rdi rcx', 'mov eax const', 'call ___isoc99_sscanf', 'mov ecx  addr', 'mov rdx  addr', 'mov rax  addr', 'add rax rdx', 'mov edx ecx', 'mov  addr dl', 'add  addr const']"
84,5965:loc_17C0,"[0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'cmp rax  addr', 'jnb loc_1837']"
85,5965:loc_17CA,"[0.0, 19.0, 0.0, 4.0, 2.0, 1.0, 0.0, 2.0, 0.0]","['call ___ctype_b_loc', 'mov rax  addr', 'mov rdx  addr', 'lea rcx  addr', 'mov rdx  addr', 'add rdx rcx', 'movzx edx byte ptr  addr', 'movsx rdx dl', 'add rdx rdx', 'add rax rdx', 'movzx eax word ptr  addr', 'movzx eax ax', 'and eax const', 'test eax eax', 'jz loc_1837']"
86,5965:loc_17FD,"[0.0, 21.0, 0.0, 3.0, 3.0, 1.0, 0.0, 2.0, 0.0]","['call ___ctype_b_loc', 'mov rax  addr', 'mov rdx  addr', 'add rdx rdx', 'lea rcx  addr', 'mov rdx  addr', 'add rdx rcx', 'movzx edx byte ptr  addr', 'movsx rdx dl', 'add rdx rdx', 'add rax rdx', 'movzx eax word ptr  addr', 'movzx eax ax', 'and eax const', 'test eax eax', 'jnz loc_177e']"
87,5965:loc_1837,"[0.0, 3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'mov rsi  addr', 'xor rsi fs:28h', 'jz locret_184f']"
88,5965:loc_184A,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['call ___stack_chk_fail']
89,5965:loc_184F,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['leave', 'retn']"
90,6225:loc_1851,"[1.0, 11.0, 1.0, 0.0, 5.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'sub rsp const', 'mov  addr rdi', 'mov  addr rsi', 'mov  addr rdx', 'mov rax fs:28h', 'mov  addr rax', 'xor eax eax', 'mov  addr const', 'jmp loc_18c8']"
91,6225:loc_1882,"[0.0, 19.0, 2.0, 2.0, 7.0, 2.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'lea rdx ds:0 addr', 'mov rax  addr', 'lea rcx  addr', 'lea rax  addr', 'mov rdx rax', 'lea rsi asc_2074', 'mov rdi rcx', 'mov eax const', 'call ___isoc99_swscanf', 'mov ecx  addr', 'mov rdx  addr', 'mov rax  addr', 'add rax rdx', 'mov edx ecx', 'mov  addr dl', 'add  addr const']"
92,6225:loc_18C8,"[0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'cmp rax  addr', 'jnb loc_1916']"
93,6225:loc_18D2,"[0.0, 10.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0]","['mov rax  addr', 'lea rdx ds:0 addr', 'mov rax  addr', 'add rax rdx', 'mov eax  addr', 'mov edi eax', 'call _iswxdigit', 'test eax eax', 'jz loc_1916']"
94,6225:loc_18F2,"[0.0, 11.0, 0.0, 1.0, 3.0, 1.0, 0.0, 2.0, 0.0]","['mov rax  addr', 'shl rax const', 'lea rdx  addr', 'mov rax  addr', 'add rax rdx', 'mov eax  addr', 'mov edi eax', 'call _iswxdigit', 'test eax eax', 'jnz loc_1882']"
95,6225:loc_1916,"[0.0, 3.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0]","['mov rax  addr', 'mov rsi  addr', 'xor rsi fs:28h', 'jz locret_192e']"
96,6225:loc_1929,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",['call ___stack_chk_fail']
97,6225:loc_192E,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['leave', 'retn']"
98,6448:loc_1930,"[2.0, 5.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'mov eax const', 'pop rbp', 'retn']"
99,6463:loc_193F,"[2.0, 5.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'mov eax const', 'pop rbp', 'retn']"
100,6478:loc_194E,"[3.0, 10.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'call _rand', 'cdq', 'shr edx const', 'add eax edx', 'and eax const', 'sub eax edx', 'pop rbp', 'retn']"
101,6504:loc_1968,"[3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'nop', 'pop rbp', 'retn']"
102,6537:loc_1989,"[3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['endbr64', 'push rbp', 'mov rbp rsp', 'nop', 'pop rbp', 'retn']"
103,6816:loc_1AA0,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['endbr64', 'retn']"
104,6824:loc_1AA8,"[2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]","['endbr64;', 'sub rsp const', 'add rsp const', 'retn']"
105,16440:loc_4038,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
106,16448:loc_4040,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
107,16472:loc_4058,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
108,16480:loc_4060,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
109,16488:loc_4068,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
110,16496:loc_4070,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
111,16504:loc_4078,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
112,16512:loc_4080,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
113,16520:loc_4088,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
114,16528:loc_4090,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
115,16536:loc_4098,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
116,16552:loc_40A8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2105560759450894]",['extrn']
